"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AVWAGE","TOT","USD","A","1990",36682.9424245499,
"AUS","AVWAGE","TOT","USD","A","1991",36776.247678289,
"AUS","AVWAGE","TOT","USD","A","1992",37692.1293581794,
"AUS","AVWAGE","TOT","USD","A","1993",38112.6902790538,
"AUS","AVWAGE","TOT","USD","A","1994",38488.1166339944,
"AUS","AVWAGE","TOT","USD","A","1995",38437.083762478,
"AUS","AVWAGE","TOT","USD","A","1996",39667.5328969155,
"AUS","AVWAGE","TOT","USD","A","1997",40902.825365701,
"AUS","AVWAGE","TOT","USD","A","1998",41503.2363904709,
"AUS","AVWAGE","TOT","USD","A","1999",42556.1699851221,
"AUS","AVWAGE","TOT","USD","A","2000",42702.4258817753,
"AUS","AVWAGE","TOT","USD","A","2001",42311.0782255412,
"AUS","AVWAGE","TOT","USD","A","2002",42602.2776924458,
"AUS","AVWAGE","TOT","USD","A","2003",43100.6562171521,
"AUS","AVWAGE","TOT","USD","A","2004",44441.8135415268,
"AUS","AVWAGE","TOT","USD","A","2005",45016.2076778619,
"AUS","AVWAGE","TOT","USD","A","2006",45307.3515170443,
"AUS","AVWAGE","TOT","USD","A","2007",46557.6186573139,
"AUS","AVWAGE","TOT","USD","A","2008",46933.1864213091,
"AUS","AVWAGE","TOT","USD","A","2009",46507.5883264452,
"AUS","AVWAGE","TOT","USD","A","2010",48111.5464309697,
"AUS","AVWAGE","TOT","USD","A","2011",49621.8404407184,
"AUS","AVWAGE","TOT","USD","A","2012",49900.6480697867,
"AUS","AVWAGE","TOT","USD","A","2013",49648.7720561079,
"AUS","AVWAGE","TOT","USD","A","2014",49988.5582048906,
"AUS","AVWAGE","TOT","USD","A","2015",49562.7961917006,
"AUS","AVWAGE","TOT","USD","A","2016",49603.2666562394,
"AUS","AVWAGE","TOT","USD","A","2017",49125.8672341823,
"AUT","AVWAGE","TOT","USD","A","1990",40180.7455989152,
"AUT","AVWAGE","TOT","USD","A","1991",41436.7389989039,
"AUT","AVWAGE","TOT","USD","A","1992",42271.537919918,
"AUT","AVWAGE","TOT","USD","A","1993",42616.1899322922,
"AUT","AVWAGE","TOT","USD","A","1994",43045.5605092534,
"AUT","AVWAGE","TOT","USD","A","1995",43392.341548938,
"AUT","AVWAGE","TOT","USD","A","1996",43075.9821186398,
"AUT","AVWAGE","TOT","USD","A","1997",42715.1441072402,
"AUT","AVWAGE","TOT","USD","A","1998",44092.6764090192,
"AUT","AVWAGE","TOT","USD","A","1999",45060.0288196076,
"AUT","AVWAGE","TOT","USD","A","2000",45188.0031051172,
"AUT","AVWAGE","TOT","USD","A","2001",45068.9903074612,
"AUT","AVWAGE","TOT","USD","A","2002",45732.5834869296,
"AUT","AVWAGE","TOT","USD","A","2003",45854.5244699377,
"AUT","AVWAGE","TOT","USD","A","2004",46723.2221747289,
"AUT","AVWAGE","TOT","USD","A","2005",46963.2346598264,
"AUT","AVWAGE","TOT","USD","A","2006",47654.1500606673,
"AUT","AVWAGE","TOT","USD","A","2007",47895.2314113613,
"AUT","AVWAGE","TOT","USD","A","2008",48739.8569797832,
"AUT","AVWAGE","TOT","USD","A","2009",49520.7788557193,
"AUT","AVWAGE","TOT","USD","A","2010",49315.9163089574,
