iso3c,year,current_account_GDP_ameco,unemp_rate,gdp_real_ppp,gdp_real_pc_ppp,gini_post_tax,gini_pre_tax,wage_share,ext_balance_usd,ext_balance_gdp
AUT,1994,-2.9137826,4.3,261607000156.534,32964.1016119637,27.4,43.9,59.9578791,-3399090471.02759,-1.67002550773919
AUT,1995,-2.5544822,4.2,268586632188.586,33791.8014680143,28,45,59.1476268,-2869127883.17183,-1.19032041164438
AUT,1996,-2.8075963,4.7,274897169376.973,34539.0855902146,27.5,44.5,58.2465681,-3760709643.87835,-1.5851189059678
AUT,1997,-2.5009003,4.7,280652406828.103,35222.2593769414,27.2,44.1,57.2264189,-1726846318.63795,-0.811524738591474
AUT,1998,-1.9981246,4.7,290703779153.957,36443.7092612023,27,43.9,57.0304835,-491318363.717208,-0.225107018654409
AUT,1999,-2.3629891,4.2,301042165562.602,37666.411617272,26.7,43.7,56.8393152,986216236.042473,0.453935426624737
AUT,2000,-0.6893499,3.9,311204512094.246,38844.404713666,26.6,44,56.0104171,2628000966.35295,1.33205228605424
AUT,2001,-0.8427236,4,315148003769.772,39186.3370023663,26.7,44.4,55.4609832,3354580395.47245,1.69844627196145
AUT,2002,2.0761314,4.4,320352828758.272,39638.0268737228,26.9,44.8,55.0162314,7912466377.52943,3.69060439749943
AUT,2003,1.527754,4.8,323368865145.266,39816.7741226218,26.9,45.2,55.0800566,7221565487.21175,2.75344702199744
AUT,2004,1.8796211,5.5,332213386858.736,40652.8107017009,26.9,45.6,54.1185148,8869135468.58303,2.94208425511287
AUT,2005,2.0275467,5.6,339668477219.036,41282.8799941074,27,45.8,53.3045756,10132965977.6498,3.20569872608103
AUT,2006,2.8024047,5.3,351400765795.985,42498.0073262324,27.5,46.4,53.0375554,12089357488.5176,3.59502651830331
AUT,2007,3.3366803,4.9,364498931267.192,43939.4252883758,28,47.2,52.4440166,17079349582.4589,4.38848478281608
AUT,2008,4.2225709,4.1,369822165488.295,44441.7885303671,28.2,47.3,53.365802,19114143977.6406,4.42403850111133
AUT,2009,2.3547578,5.3,355899912424.216,42656.8541604126,28.4,47.6,55.0267166,13469372004.5742,3.35260214740789
AUT,2010,3.3309885,4.8,362438130466.604,43336.1978527647,28.2,47.9,54.5595674,13747376918.5,3.50452441771559
AUT,2011,2.1586863,4.6,373031463577.163,44452.7327457999,28.3,47.7,53.9493678,12063672510.0195,2.79455307355341
AUT,2012,1.9126009,4.9,375569735185.251,44551.6175741173,28.2,47.8,54.4794344,11443497069.4102,2.79517496522236
AUT,2013,1.8791366,5.4,375665520868.395,44301.104028751,28.1,48.1,54.966173,12114920098.3804,2.8161725070714
AUT,2014,2.4670992,5.6,378149701737.767,44246.8932651257,28.1,47.6,54.9580876,14470854213.2313,3.26962284141608
AUT,2015,1.8521555,5.7,382471877579.544,44253.7542473183,28.3,47.3,54.5459437,14326995719.9648,3.75080572841203
AUT,2016,2.608949,6,390272678313.382,44670.654569154,28.4,47.2,54.6674987,15163377190.5526,3.83070902087048
AUT,2017,2.0626502,5.5,400228068975.153,45493.0453463098,,,54.3240772,13199895268.2118,3.16346135024712
AUT,2018,2.4820345,4.9,,,,,54.2593713,13653369374.1961,2.99963196371165
AUT,2019,2.4382302,4.7,,,,,54.2931312,15157931147.1372,3.40618578444165
AUT,2020,2.5739352,4.7,,,,,54.0381726,12439166678.2413,2.87107295212261
BEL,1994,5.565525,9.8,322895662069.073,31920.5550147701,25.1,44.9,62.029901,8858973957.07741,3.61761865723349
BEL,1995,4.5172903,9.7,330595939740.681,32613.4066957232,25.5,45.3,61.4171742,11089490968.8013,3.85017561479431
BEL,1996,3.7800358,9.5,335863676281.766,33068.3942216076,25.7,45.2,61.4753439,8856286644.95114,3.1720061543602
