iso2c,country,ne.trd.gnfs.zs,year
AT,Austria,105.102788629725,2011
AT,Austria,99.0197962369563,2010
AT,Austria,87.0622309742796,2009
AT,Austria,102.073682731706,2008
AT,Austria,100.733254061926,2007
AT,Austria,98.0883112053436,2006
AT,Austria,94.0338056833054,2005
BE,Belgium,162.753665660528,2011
BE,Belgium,151.100176526737,2010
BE,Belgium,136.356757863313,2009
BE,Belgium,158.908045084263,2008
BE,Belgium,151.163621858795,2007
BE,Belgium,147.693901435153,2006
BE,Belgium,143.376220942029,2005
CZ,Czech Republic,138.784978264669,2011
CZ,Czech Republic,128.967077051047,2010
CZ,Czech Republic,113.492768818716,2009
CZ,Czech Republic,124.288831562303,2008
CZ,Czech Republic,130.372902700621,2007
CZ,Czech Republic,127.632502637499,2006
CZ,Czech Republic,122.015258515417,2005
DE,Germany,84.7477359495694,2011
DE,Germany,79.3030782229871,2010
DE,Germany,70.6650462548978,2009
DE,Germany,80.9449046351308,2008
DE,Germany,79.3705311491587,2007
DE,Germany,77.0821685991852,2006
DE,Germany,70.421190337526,2005
DK,Denmark,101.245740053085,2011
DK,Denmark,94.0999797893453,2010
DK,Denmark,89.7550319572765,2009
DK,Denmark,104.828223617379,2008
DK,Denmark,100.067861137709,2007
DK,Denmark,97.366697181173,2006
DK,Denmark,89.399766958557,2005
ES,Spain,58.0860928451519,2011
ES,Spain,52.3435729252915,2010
ES,Spain,46.4972031004993,2009
ES,Spain,55.7579341082667,2008
ES,Spain,57.406456471877,2007
ES,Spain,55.6592729574374,2006
ES,Spain,54.335103582121,2005
EE,Estonia,167.349949217147,2011
EE,Estonia,143.800151545203,2010
EE,Estonia,116.649645201599,2009
EE,Estonia,137.522953096137,2008
EE,Estonia,135.265677640421,2007
EE,Estonia,137.121408242474,2006
EE,Estonia,136.916600732803,2005
FI,Finland,79.1699048605926,2011
FI,Finland,76.089791555318,2010
FI,Finland,70.5312408509134,2009
FI,Finland,86.5118656142398,2008
FI,Finland,83.1759422029756,2007
FI,Finland,82.1827893450126,2006
FI,Finland,76.6277138703182,2005
FR,France,58.7905764224005,2011
FR,France,54.8677910818934,2010
FR,France,50.462450850073,2009
FR,France,57.3970828857949,2008
FR,France,56.420756583014,2007
FR,France,56.1034244496256,2006
FR,France,53.9807067764121,2005
GB,United Kingdom,62.560013014797,2011
GB,United Kingdom,59.0339627705195,2010
GB,United Kingdom,54.4446812628143,2009
GB,United Kingdom,56.4678940798122,2008
GB,United Kingdom,52.2020871229008,2007
GB,United Kingdom,55.8255064283689,2006
GB,United Kingdom,51.9389982299302,2005
GR,Greece,57.8446200446513,2011
GR,Greece,52.8290979327057,2010
GR,Greece,47.7438465419344,2009
GR,Greece,59.3297157210787,2008
GR,Greece,57.5243742223839,2007
GR,Greece,52.8502386406672,2006
GR,Greece,50.9008641205698,2005
HU,Hungary,167.38804373993,2011
HU,Hungary,158.352697867102,2010
HU,Hungary,144.781390101437,2009
HU,Hungary,158.207962673611,2008
HU,Hungary,155.20008517063,2007
HU,Hungary,149.052826370595,2006
HU,Hungary,127.353678299707,2005
IE,Ireland,187.534730291933,2011
IE,Ireland,189.590170855381,2010
IE,Ireland,173.001741948266,2009
IE,Ireland,159.635387747843,2008
IE,Ireland,153.2939161693,2007
IE,Ireland,149.957458397069,2006
IE,Ireland,148.277920031908,2005
IT,Italy,55.582987559596,2011
IT,Italy,52.3455973754055,2010
IT,Italy,45.6091167384025,2009
IT,Italy,54.7180076742909,2008
IT,Italy,55.2136471865318,2007
IT,Italy,53.292274830165,2006
IT,Italy,49.4138148269597,2005
LU,Luxembourg,323.449607347643,2011
LU,Luxembourg,316.161400227568,2010
LU,Luxembourg,295.972806200216,2009
LU,Luxembourg,343.561828330302,2008
LU,Luxembourg,332.50484932692,2007
LU,Luxembourg,320.598261765662,2006
LU,Luxembourg,297.772974229331,2005
LV,Latvia,120.611250854009,2011
LV,Latvia,108.788986837409,2010
LV,Latvia,86.8264215410616,2009
LV,Latvia,92.0013789855011,2008
LV,Latvia,95.9230193431634,2007
LV,Latvia,100.618599561276,2006
LV,Latvia,100.833397562092,2005
NL,Netherlands,146.173216638229,2011
NL,Netherlands,135.545009437667,2010
NL,Netherlands,118.98047090067,2009
NL,Netherlands,134.658608211051,2008
NL,Netherlands,131.721888859901,2007
NL,Netherlands,129.825866867399,2006
NL,Netherlands,124.553847168943,2005
PL,Poland,87.082722756353,2011
PL,Poland,82.1083264489399,2010
PL,Poland,75.2259132726234,2009
PL,Poland,80.7544540767253,2008
PL,Poland,80.6620046227492,2007
PL,Poland,77.7913937245753,2006
PL,Poland,70.2749609275615,2005
PT,Portugal,72.8638805710354,2011
PT,Portugal,67.3048494042777,2010
PT,Portugal,61.0822773378283,2009
PT,Portugal,71.963328063325,2008
PT,Portugal,69.6530798312034,2007
PT,Portugal,68.0730362336936,2006
PT,Portugal,62.5718057280122,2005
SK,Slovak Republic,171.007872957736,2011
SK,Slovak Republic,154.123059806721,2010
SK,Slovak Republic,136.701526970102,2009
SK,Slovak Republic,162.920929761002,2008
SK,Slovak Republic,167.670854904699,2007
SK,Slovak Republic,166.031100399692,2006
SK,Slovak Republic,148.67939743123,2005
SI,Slovenia,138.912301308299,2011
SI,Slovenia,127.141330167444,2010
SI,Slovenia,112.616536910071,2009
SI,Slovenia,134.144353049272,2008
SI,Slovenia,136.491964495636,2007
SI,Slovenia,129.438621391143,2006
SI,Slovenia,119.797480526799,2005
SE,Sweden,88.6615268870312,2011
SE,Sweden,86.9028469934892,2010
SE,Sweden,83.1433029375927,2009
SE,Sweden,93.3591313493716,2008
SE,Sweden,89.5397799186122,2007
SE,Sweden,88.7894830757892,2006
SE,Sweden,84.5739697153974,2005
