iso2c,country,year,ne.trd.gnfs.zs,ne.exp.gnfs.zs,NE.IMP.GNFS.ZS
AT,Austria,1962,45.6180901534569,23.4163731876468,22.2017169658101
AT,Austria,1963,46.2846929359315,23.4268110207149,22.8578819152166
AT,Austria,1964,46.9855812470221,23.3993989196795,23.5861823273426
AT,Austria,1965,48.2393149536368,23.7702933429408,24.469021610696
AT,Austria,1966,48.9255425298678,23.708681403716,25.2168611261517
AT,Austria,1967,48.3085412151414,23.7042547228676,24.6042864922738
AT,Austria,1968,49.013881174705,24.309171420419,24.704709754286
AT,Austria,1969,52.7252596626323,26.8480017913189,25.8772578713134
AT,Austria,1970,54.86039174788,27.3917570099059,27.4686347379741
AT,Austria,1971,54.3804711459358,27.0353547009084,27.3451164450274
AT,Austria,1972,54.2960192212936,26.9306664617911,27.3653527595025
AT,Austria,1973,54.4568199360651,26.9193668906389,27.5374530454263
AT,Austria,1974,59.5677317780406,29.1143698982224,30.4533618798182
AT,Austria,1975,56.5991341566834,28.0946358571963,28.5044982994871
AT,Austria,1976,59.9162816321086,28.7525264199134,31.1637552121951
AT,Austria,1977,60.2775956821567,27.9539567920211,32.3236388901356
AT,Austria,1978,59.6679877608595,29.1150929927063,30.5528947681532
AT,Austria,1979,63.3172191333532,30.8807752370752,32.436443896278
AT,Austria,1980,66.8250060486283,31.693071746573,35.1319343020553
AT,Austria,1981,68.396550301208,33.0006616212331,35.3958886799749
AT,Austria,1982,64.1171139234959,31.7414964327904,32.3756174907055
AT,Austria,1983,62.4721849872476,30.4781988225532,31.9939861646944
AT,Austria,1984,66.5750060351522,32.7510176204109,33.8239884147413
AT,Austria,1985,70.0831614762495,34.9213214117574,35.1618400644921
AT,Austria,1986,64.014597212162,31.9977147053967,32.0168825067653
AT,Austria,1987,62.8537227269269,31.4062048787345,31.4475178481923
AT,Austria,1988,66.562550344062,33.0709262043675,33.4916241396946
AT,Austria,1989,70.5383587945509,35.0152027446799,35.5231560498709
AT,Austria,1990,71.4883694819226,35.6974146503071,35.7909548316155
AT,Austria,1991,70.0484058928522,34.5904880807681,35.4579178120841
AT,Austria,1992,67.6301674653756,33.1552676574191,34.4748998079566
AT,Austria,1993,63.2650504915528,31.4638980106592,31.8011524808936
AT,Austria,1994,65.9870933378821,32.1585338854777,33.8285594524044
AT,Austria,1995,68.25660110272,33.5331403455378,34.7234607571822
AT,Austria,1996,70.0836711206827,34.2492761073574,35.8343950133252
AT,Austria,1997,74.8676902155828,37.0280827384957,37.8396074770871
AT,Austria,1998,76.9271493915785,38.351021186462,38.5761282051164
AT,Austria,1999,78.2601403439716,39.3570378852981,38.9031024586734
AT,Austria,2000,85.3604956179232,43.3462739519887,42.0142216659345
AT,Austria,2001,87.5366647639352,44.6175555179483,42.9191092459869
AT,Austria,2002,86.9481679996606,45.31938619858,41.6287818010806
AT,Austria,2003,86.3873824162825,44.57041471914,41.8169676971425
AT,Austria,2004,90.7923456929297,46.8672149740213,43.9251307189084
AT,Austria,2005,94.0338056833054,48.6197522046932,45.4140534786122
AT,Austria,2006,98.0883112053436,50.8416688618235,47.2466423435202
AT,Austria,2007,100.733254061926,52.560869422371,48.172384639555
AT,Austria,2008,102.073682731706,53.2488606164087,48.8248221152974
AT,Austria,2009,87.0622309742796,45.2074165608437,41.8548144134358
AT,Austria,2010,99.0197962369563,51.2621603273359,47.7576359096203
AT,Austria,2011,105.102788629725,53.9486708516394,51.154117778086
AT,Austria,2012,105.152177427838,53.9736761965302,51.1785012313079
AT,Austria,2013,104.066414086373,53.4412932967224,50.625120789651
AT,Austria,2014,103.503535251069,53.3865790462424,50.1169562048263
AT,Austria,2015,102.430054670253,53.0902634767112,49.3397911935423
AT,Austria,2016,101.00202508107,52.3425868673769,48.6594382136933
BE,Belgium,1962,81.1576432460471,40.5730913202231,40.584551925824
BE,Belgium,1963,84.3825837561852,41.7125390253489,42.6700447308363
BE,Belgium,1964,85.3268781038424,42.4975544033319,42.8293237005105
BE,Belgium,1965,83.9900692062356,41.9832709983555,42.0067982078801
BE,Belgium,1966,88.0357457342498,43.6661054948653,44.3696402393845
BE,Belgium,1967,84.9542938596995,42.6867324128493,42.2675614468502
BE,Belgium,1968,89.2725658349821,44.8669093217312,44.4056565132509
BE,Belgium,1969,96.4912899323802,48.8002811996644,47.6910087327158
BE,Belgium,1970,87.0758025041546,44.4875972111773,42.5882052929773
BE,Belgium,1971,84.9490549800667,43.3111788480817,41.6378761319849
BE,Belgium,1972,84.5787180649479,43.6771381309046,40.9015799340434
BE,Belgium,1973,93.4462479046126,47.5311995597057,45.9150483449068
BE,Belgium,1974,104.495768978865,52.3419329393251,52.1538360395404
